Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,WA,2022,"12        ",Male,18,Right-Handed,5.4,7,"5.2 n",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2024,"12        ",Female,17,Right-Handed,167.4,2.4,5.6,2,Bus,20,10,5,Other,0,1000,1000,1000,1000,1000,10,"Same length",5,5,"Ring finger",January,Spring,Yes,No,Vegetables,Water,English,10,12,6,"Yes - other","Text messaging",2,2,0,4,4,10,5,6,4,4,4,4,4,4,"A lot","Some college",Reggae,Invisibility,Rich,Relative,Other
USA,WA,2019,"12        ",Female,17,Right-Handed,155,21,148,2,Bus,45,1.706,62,None,1000,626,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2024,"11        ",Male,17,Right-Handed,182,25,185,1,Car,5,.4,54,Skateboarding/Rollerblading,5,5,5,5,5,5,25,"Same length",8,7.5,"Index finger",March,Summer,Yes,No,Seafood,Water,"Mathematics and statistics",7,8,3,"Yes - other","Text messaging",100,200,13,2,0,9,30,15,5,2,15,0,20,2,None,"High school",Reggae,"Freeze time",Rich,Friend,Health
USA,WA,2012,"12        ",Female,17,Right-Handed,178,29,177,1,Car,10,0.359,40,Other,500,500,200,200,1000,1000,28,"Right foot",80,90,"Ring finger",August,Summer,Yes,Yes,Breads/Sandwiches,Water,Science,6,9,4,"Yes - other","Text messaging",200,200,8,,,,,,,,,,,,,,,,,,
USA,WA,2023,"11        ",Female,17,Right-Handed,165,23,161,1,Car,10,0.37,46,Other,700,200,100,200,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,WA,2023,"11        ",Male,17,Right-Handed,183,27,188,1,Car,10,.338,40,"Football (American)",813,620,449,631,294,422,27,"Same length",73,78,"Ring finger",December,Summer,No,No,Meat,Water,"Physical education",7,9,5,"Yes - broadband connection","In person",24,27,12,2,1,6,4,4,16,1,4,5,20,2,Some,"Undergraduate degree",Jazz,Invisibility,Happy,"Sports person",Health
USA,WA,2023,"11        ",Male,17,Right-Handed,180.3,24,187.9,1,Car,20,0.467,53,"Football (American)",0,300,200,400,0,500,24,"Same length",70,75,"Ring finger",,Winter,Yes,No,Meat,"Sports drink","Physical education",8,6,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",150,150,14,15,3,30,3,1,12,12,1,4,0,3,None,Other,"Heavy metal","Super strength",Happy,Other,Health
USA,WA,2023,"11        ",Female,17,Left-Handed,160.2,16,90,1,Car,8,0.852,60,Golf,,,,,,,,,,,,,,,,,,,,,,,,,,"50 ",.0,50,0,P,0,P,P,P,P,"78 ",P,Some,"Graduate degree",Country,Invisibility,Rich,Teacher,Health
USA,WA,2020,"12        ",Female,17,Right-Handed,5'1,15.24,27,2,Bus,"8 ",0.463,38,Dancing,529,540,733,743,829,1000,15.24,"Same length",5,3,"Index finger",August,Summer,No,No,Seafood,Water,Languages,8,10+,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",60+,50+,8,2,10+,8,6,5,10+,10+,10+,9,0,10+,"A lot","Some college",Other,Telepathy,Happy,Relative,Health
USA,WA,2019,"11        ",Male,17,Right-Handed,170cm,30cm,180cm,1,Car,5,0.42,35,"Martial Arts",1000,487,1000,187,1000,1000,30cm,"Same length",8mm,8mm,"Same length",April,Fall,No,No,"Rice/Noodle dishes","Soft drink (non-caffeinated)",History,6-7,10,4,"Yes - broadband connection","Text messaging",n/a,n/a,0,1,0,3,2,8,10,10,10,2,0,0,Some,"High school","Rap/Hip hop","Freeze time",Happy,Friend,Health
USA,WA,2023,"12        ",Male,17,Ambidextrous,178,27,70,2,Car,15,0.325,42,Soccer,1000,1000,1000,1000,1000,1000,27,"Same length",80,80,"Same length",September,Winter,No,No,Poultry,"Soft drink (caffeinated)",Art,7,10,3,"Yes - broadband connection","Text messaging",5,1,5,1,9,3,1,11,11,3,24,4,0,0,Some,"Graduate degree","Rhythm and blues (R&B)","Super strength",Famous,"Musician or singer","Arts, culture, sports"
USA,WA,2022,"12        ",Female,17,Right-Handed,5’4,1,1,1,Car,20,0.158,57,Golf,,,,,,,1,,,,,October,Summer,No,No,Pizza/Pasta,Water,"Physical education",5,7,2,"Yes - dial-up connection","In person",,,,,,,,,,,,,,,Some,"Graduate degree",Country,Telepathy,Healthy,"Sports person",Health
USA,WA,2018,"8         ",Male,14,Right-Handed,167,25,169.5,1,Car,30,.332,47,Cycling,503,759,353,305,310,1000,25.5,"Left foot",100,105,"Ring finger",February,Summer,Yes,No,Meat,Milk,History,11,14,3,"Yes - broadband connection","In person",2,1,3,0,5,8,15,8,9,1,12,0,0,5,Some,"Graduate degree",Pop,"Freeze time",Rich,Relative,Health
USA,WA,2019,"11        ",Male,17,Right-Handed,162,21.59,163,2,Car,7,0.495,48,Soccer,1000,1000,400,1000,0,500,21.59,"Same length",75,77,"Ring finger",October,Fall,No,No,"Rice/Noodle dishes",Water,Geography,6,5,6,"Yes - broadband connection",Other,15,14,4,5,4,6,3,3,5,2,7,4,0,2,Some,"Some college",Other,Telepathy,Happy,"Business person",Health
USA,WA,2019,"11        ",Male,16,Right-Handed,168,58,154,2,Car,26,.254,34,Golf,600,558,619,910,847,764,58,"Same length",240,240,"Same length",February,Spring,Yes,No,Breads/Sandwiches,Water,"Mathematics and statistics",8,6,4,"Yes - broadband connection","In person",0,0,0,0,1,2,1,6,1,0,8,2,0,1,"Very little","Some college",Other,"Freeze time",Healthy,Relative,"International aid"
USA,WA,2022,"11        ",Female,16,Right-Handed,160,24,26,1,Car,15,10,12,Baseball/Softball,2,5,1,4,3,6,8,"Same length",50,49,"Index finger",February,Summer,Yes,No,Soups,"Energy drink",History,6,10,5,"Yes - broadband connection","Text messaging",50,76,5,2,0,5,0,0,12,12,12,0,4,30,Some,"High school",Country,"Freeze time",Happy,Relative,Health
USA,WA,2024,"11        ",Male,16,Right-Handed,179,29,180,1,Car,15,3.75,42,Other,701,701,570,500,100,200,29,"Same length",70,70,"Same length",May,Spring,No,No,Meat,Water,Other,8,8,6,"Yes - other","In person",10,10,20,.3,0,6,0,6,2,.1,5,0,20,2,"Very little","High school",Other,,Happy,Other,Religious
USA,WA,2021,"11        ",Male,18,Right-Handed,178,,,,Bus,,0.39,60,Soccer,100,70,100,80,100,100,,"Same length",,,"Same length",November,Summer,No,No,Desserts,"Soft drink (caffeinated)","Mathematics and statistics",8,10,5,"Yes - other","Text messaging",40,55,16,3,10,4,30,20,16,8,30,3,0,5,Some,"Some college",Other,Fly,Famous,"Sports person",Religious
USA,WA,2023,"12        ",Male,16,Right-Handed,177,29,170,1,Car,5,.299,41,Basketball,750,700,1000,1000,500,1000,28,"Right foot",73,79,"Ring finger",April,Summer,Yes,No,Meat,Water,"Physical education",4-6,8,7,"Yes - broadband connection","In person",10,20,1,1,1,1,1,1,1,1,1,1,1,1,Some,Other,"Rap/Hip hop","Freeze time",Happy,Other,"International aid"
USA,WA,2016,"6         ",Male,12,Left-Handed,156,25,159,3,Car,15,0.439,31,Soccer,508,70,743,500,800,1000,25,"Same length",6,6,"Ring finger",May,Summer,Yes,No,Meat,Juice,"Physical education",9,12,4,"Yes - broadband connection","Text messaging",2,34,10,0,7,18,12,3,0,0,4,3,0,0,Some,"Undergraduate degree",Techno/Electronic,"Freeze time",Happy,Friend,"Education/Youth development"
USA,WA,2019,"12        ",Male,17,Right-Handed,180,30.5,177,1,Car,5,.156,44,"Football (American)",500,300,0,0,400,400,31,"Left foot",8,8.5,"Ring finger",July,Summer,No,No,Pizza/Pasta,Juice,History,7,9,4,"Yes - broadband connection","Text messaging",35,25,6,0,1,1,2,2,0,.5,2,0,0,3,Some,"Undergraduate degree","Rap/Hip hop",Fly,Rich,Relative,Health
USA,WA,2022,"12        ",Female,17,Right-Handed,162,23,158,2,Car,5,0.407,41,Other,829,690,813,594,754,856,23,"Same length",7,6.5,"Index finger",September,Spring,Yes,No,Pizza/Pasta,Water,History,7,5,5,"Yes - broadband connection","Internet chat or instant messaging",30,50,10,15,0,5,2,8,7,10,20,8,0,3,Some,Other,Pop,Invisibility,Happy,Friend,Health
USA,WA,2019,"12        ",Female,18,Right-Handed,167.6,24.6,168.9,1,Bus,40,0.376,40,Walking/Hiking,10,10,6,6,8,9,24.6,"Same length",70,75,"Ring finger",October,Summer,Yes,No,"No favorite",Coffee,English,6,5,6,"Yes - broadband connection","Text messaging",12,15,20,0,12,1,6,0,4,7,17,5,0,9,"A lot","Some college",Other,Telepathy,Happy,Friend,"International aid"
USA,WA,2023,"12        ",Male,20,Right-Handed,75,9,,2,Car,13,,5seco,Soccer,,,Conse,,,,9,"Same length",,,"Ring finger",February,Summer,No,No,Pizza/Pasta,"Sports drink",English,5,3,4,"No internet connection","Text messaging",32,32,"Hang ",,,,,,,,,,,,Some,"High school","Rap/Hip hop",Fly,Happy,,"Arts, culture, sports"
USA,WA,2019,"11        ",Female,17,Right-Handed,135,30,120,1,Car,45,.491,44,Golf,500,500,500,500,1000,1000,25,"Same length",100,120,"Index finger",September,Fall,Yes,No,Pizza/Pasta,Tea,"Mathematics and statistics",7,8,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",5,5,10,1,4,10,4,10,0,0,10,10,40,20,"Very little","Graduate degree",Pop,"Super strength",Healthy,Relative,"Education/Youth development"
