Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2023,12,Female,17.0,Left-Handed,,,,2,Rail (Train/Tram/Subway),60,0.699,47,Other,797,856,663,337,674,952,,,8,7,Index finger,January,Spring,No,Yes,Pizza/Pasta,Water,Physical education,2,7,4,Yes - broadband connection,Internet chat or instant messaging,5,6,1,3,21,5,0,0,7,4,57,3,0.0,2,A lot,Graduate degree,Pop,Telepathy,Happy,Relative,"Wildlife, animals"
USA,NY,2019,5,Female,10.0,Right-Handed,138,20,134,1,Car,4,0.762,94,Gymnastics,500,400,350,350,400,400,21,Left foot,14,12,Index finger,November,Summer,No,No,Desserts,Milk,Art,9,,5,Yes - broadband connection,In person,20,20,24,0,3,120,4,2,20,2,20,10,0.0,0,Very little,Graduate degree,Other,Invisibility,Happy,Relative,Other
USA,NY,2021,11,Female,17.0,Right-Handed,160,22,158,1,Rail (Train/Tram/Subway),65,0.393,37,Running/Jogging,1000,750,500,500,1000,1000,21,Right foot,72,71,Index finger,December,Winter,No,No,Fruit,Water,English,6,9,4,Yes - broadband connection,In person,150,160,5,10,40,10,3,0,7,7,60,3,0.0,5,A lot,Graduate degree,Other,Freeze time,Happy,Relative,Education/Youth development
USA,NY,2016,12,Female,17.0,Right-Handed,157,24,152,3,Rail (Train/Tram/Subway),60,.7,47,Table Tennis,900,1000,999,800,1000,999,23,Right foot,70,6.5,Index finger,March,Fall,No,No,Seafood,Coffee,Art,6,10,3,Yes - other,Cell phone,3,6,10,2,7,4,2,0,3,1,20,20,8.0,2,Some,Graduate degree,Jazz,Fly,Happy,Teacher,Health
USA,NY,2014,6,Female,12.0,Ambidextrous,154,24,152,3,Bus,5,0.835,46,Soccer,1000,100,1000,1000,10,0,24,Same length,70,70.5,Ring finger,August,Fall,No,No,Desserts,Energy drink,Science,11.5,4,4,Yes - other,Text messaging,54,45,3,1,0,1,3,4,3,6,2,5,0.0,.5,,Graduate degree,Pop,Telepathy,Healthy,Sports person,Health
USA,NY,2022,12,Female,17.0,Left-Handed,157.2,25,120,2,Rail (Train/Tram/Subway),30,0.56,56,Dancing,791,561,471,957,840,1000,25,Same length,800,700,Index finger,May,Fall,No,No,Meat,Coffee,Mathematics and statistics,8,10,10,Yes - broadband connection,In person,1,1,2,1,1,5,2,2,6,1,6,0,10.0,2,Very little,Graduate degree,Rap/Hip hop,Fly,Happy,Friend,International aid
USA,NY,2024,12,Male,18.0,Right-Handed,162,24.6,160,2,Rail (Train/Tram/Subway),30,.644,46,Other,650,500,300,600,780,999,24.6,Same length,87,93,Ring finger,September,Spring,No,No,No favorite,Water,Physical education,9,9,2,Yes - broadband connection,Text messaging,120,135,5,.5,1.5,.5,2,6,5,3,10,3,3.0,.5,Some,Graduate degree,Other,Telepathy,Happy,Sports person,"Arts, culture, sports"
USA,NY,2019,5,Male,11.0,Right-Handed,60,60,54,T11,Bus,3,6,4,Soccer,,,,,,,,Right foot,,45,Index finger,April,Fall,Yes,No,Other,Powdered drink,,7,8,9,Yes - broadband connection,Cell phone,323,3412,,,,,12,,,,,12,,,,Some college,Heavy metal,,Happy,Actor,"Wildlife, animals"
USA,NY,2021,11,Female,15.0,Right-Handed,163,22,160,2,Rail (Train/Tram/Subway),30,0.335,39,Other,1000,1000,1000,1000,535,620,23,Left foot,,28,Index finger,October,Fall,No,No,Poultry,Tea,English,6,10,3,Yes - broadband connection,In person,4,100,5,0,10,14,8,0,12,2,20,0,0.0,0,Some,Graduate degree,Pop,Fly,Happy,Actor,Environment
USA,NY,2022,9,Female,14.0,Right-Handed,163,24,165,2,Car,5,0.355,51,,1000,1000,1000,1000,100,1000,24,Same length,65,85,Ring finger,January,Fall,Yes,No,Meat,Water,English,8,6,5,Yes - other,In person,3,3,24/7,3,4,24/7,1,0,0,1,24/7,1,0.0,24/7,A lot,Some college,Country,Telepathy,Happy,Relative,Health
