Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2012,"8         ",Female,12,Right-Handed,165,25,157,2,Car,3,.411,37,Basketball,600,600,600,600,500,700,25,"Same length",75,72,"Index finger",January,Winter,No,No,Desserts,Water,Art,7,10,4,"Yes - other","In person",2,2,3,0,8,4,2,0,0,0,1,2,0,1,"Very little","Graduate degree",Pop,"Freeze time",Healthy,"Doctor or nurse",Health
USA,TX,2024,"12        ",Female,17,Right-Handed,164,22.2,164,2,Car,30,0.615,44,None,0,652,893,840,0,0,22.2,"Same length",6.5,6.5,"Same length",November,Fall,Yes,No,Desserts,Water,English,8,4,5,"Yes - dial-up connection","In person",80,100,2,0,1,4,0,1,10,6,18,7,40,1,"A lot","Graduate degree",Pop,Telepathy,Rich,Relative,"Wildlife, animals"
USA,TX,2015,"4         ",Female,9,Right-Handed,130,19,131,2,Car,3,0.781,43,Dancing,1000,1000,1000,1000,789,789,19,"Same length",57,56,"Index finger",May,Summer,No,No,Desserts,Water,Art,10,11,4,"Yes - other","In person",0,0,5,1,5,4,3,2,3,4,7,3,0,1,"Very little","Graduate degree",Pop,Telepathy,Famous,Actor,"International aid"
USA,TX,2013,"12        ",Female,17,Right-Handed,67,10,64,2,Car,20,.732,.41,Dancing,732,421,563,627,325,544,10,"Same length",65,62,"Ring finger",August,Summer,Yes,No,Pizza/Pasta,Water,Other,9,11,4,"Yes - other","In person",10,15,10,1,3,5,4,1,2,2,2,2,15,1,Some,"Undergraduate degree","Rap/Hip hop",Invisibility,Happy,Relative,"Arts, culture, sports"
USA,TX,2012,"7         ",Male,12,Right-Handed,174,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2016,"12        ",Male,17,Right-Handed,160,21.6,164.5,2,Bus,7,.403,51,Basketball,829,834,850,845,96,53,22.9,"Left foot",76.2,88.9,"Ring finger",September,Spring,No,No,Pizza/Pasta,Water,"Mathematics and statistics",5,10,4,"Yes - broadband connection","Internet chat or instant messaging",3,4,2,1,52,27,2.5,0,5,1,12,3,0,30,Some,"Graduate degree",Gospel,Fly,Healthy,Relative,Health
USA,TX,2016,"12        ",Female,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,TX,2018,"12        ",Female,17,Right-Handed,149.8,22.2,110,2,Bus,7,.88,51,Other,900,600,1000,700,500,500,22.2,"Same length",76.2,63.5,"Index finger",March,Fall,No,No,Pizza/Pasta,Water,Music,5,5,5,"No internet connection","Text messaging",220,800,4,3,1,6,1,0,11,4,4,2,0,1,Some,"High school",Other,Telepathy,Happy,Teacher,"Wildlife, animals"
USA,TX,2016,"5         ",Male,11,Ambidextrous,147,21,109,2,Bicycle,10,0.725,58,"Martial Arts",637,888,101,939,783,109,21,"Same length",70,60,"Index finger",September,Winter,Yes,No,Pizza/Pasta,"Soft drink (non-caffeinated)","Computers and technology",9,9.5,4,"Yes - broadband connection","In person",0,0,10,1,5,7,2,5.5,0,0,3.5,7,0.3,0,None,"Graduate degree",Techno/Electronic,Fly,Happy,Other,"Wildlife, animals"
USA,TX,2014,"7         ",Female,13,Right-Handed,155,18,152,2,Car,10,0.862,80,Basketball,1000,900,1000,500,50,800,20,"Right foot",7,6,"Index finger",February,Fall,No,No,Fruit,"Powdered drink",Science,9,4,6,"Yes - other","Text messaging",150,200,5,3,0,3,1,10,0,10,10,1,0,0,"Very little","Graduate degree",Other,"Freeze time",Healthy,"Musician or singer",Health
