Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
VA,Female,Right-Handed,Walking/Hiking,1000.0,September,Water,Music,10.0,8.0,8.0,Undergraduate degree
VA,Male,Right-Handed,Skateboarding/Rollerblading,500.0,October,Tea,Other,4.0,30.0,30.0,Graduate degree
VA,Male,Ambidextrous,Basketball,1000.0,March,Water,History,7.0,2.0,3.0,High school
VA,Male,Ambidextrous,Basketball,899.0,September,Soft drink (caffeinated),History,11.0,10.0,10.0,Some college
VA,Female,Right-Handed,Other activities/sports,636.0,December,Juice,Social studies,7.0,15.0,15.0,Other
VA,Male,Right-Handed,Skateboarding/Rollerblading,706.0,August,Tea,English,5.0,0.0,0.0,Some college
VA,Male,Right-Handed,Basketball,1000.0,September,Soft drink (caffeinated),Geography,7.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Soccer,1000.0,August,Water,Computers and technology,7.5,25.0,2.0,Graduate degree
VA,Male,Left-Handed,Basketball,500.0,April,Water,Mathematics and statistics,10.0,0.0,2.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,900.0,July,Water,Science,7.0,0.0,3.0,Graduate degree
VA,Male,Right-Handed,Other activities/sports,658.0,February,Water,Computers and technology,8.5,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,500.0,October,Sports drink,English,8.5,0.0,2.0,Graduate degree
VA,Male,Right-Handed,Basketball,700.0,March,Milk,Physical education,8.5,20.0,20.0,Graduate degree
VA,Male,Right-Handed,Baseball/Softball,1000.0,September,Other,Computers and technology,15.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Martial Arts,700.0,October,Soft drink (non-caffeinated),Social studies,9.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Tennis,500.0,July,Water,Social studies,9.0,0.0,2.0,Undergraduate degree
VA,Male,Right-Handed,Lacrosse,200.0,January,Soft drink (caffeinated),Mathematics and statistics,10.0,20.0,20.0,Graduate degree
VA,Female,Right-Handed,Dancing,1000.0,March,Water,Other,10.0,10.0,10.0,Graduate degree
VA,Female,Right-Handed,Bowling,519.0,December,Coffee,Art,9.0,24.0,24.0,Graduate degree
VA,Male,Left-Handed,Football (American),605.0,September,Water,History,8.0,15.0,15.0,Graduate degree
VA,Female,Right-Handed,Rowing,900.0,May,Water,Science,7.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Dancing,50.0,August,Soft drink (caffeinated),English,12.0,10.5,10.5,High school
VA,Male,Right-Handed,Martial Arts,900.0,June,Water,History,9.0,8.0,2.0,Graduate degree
VA,Female,Right-Handed,Dancing,1000.0,January,Milk,Mathematics and statistics,11.0,0.0,2.0,Undergraduate degree
VA,Female,Right-Handed,Other activities/sports,900.0,April,Water,Mathematics and statistics,9.0,11.0,2.0,Graduate degree
VA,Female,Right-Handed,Baseball/Softball,30.0,November,Water,Other,8.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Other activities/sports,750.0,April,Water,History,12.0,0.0,0.0,Graduate degree
VA,Male,Right-Handed,Soccer,1000.0,January,Water,Music,10.0,15.0,15.0,Graduate degree
VA,Female,Right-Handed,Dancing,134.0,September,Water,Art,7.0,0.0,0.0,Graduate degree
VA,Female,Right-Handed,Athletics (Track & Field),1000.0,April,Water,English,9.0,10.0,10.0,Graduate degree
VA,Male,Right-Handed,Martial Arts,1000.0,June,Tea,History,7.0,6.0,24.0,Graduate degree
VA,Male,Right-Handed,Soccer,834.0,July,Water,Music,10.0,22.0,2.0,High school
VA,Male,Right-Handed,Football (American),342.0,April,Water,History,10.0,6.0,6.0,Graduate degree
VA,Female,Right-Handed,Other activities/sports,700.0,June,Water,Science,12.0,0.0,0.0,Undergraduate degree
