Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,VA,2019,""12        "",Male,17,Right-Handed,140,27,140,1,Car,10,.343,35,Swimming,450,300,800,700,1000,1000,29,""Left foot"",100,75,""Ring finger"",April,Summer,No,No,Pizza/Pasta,Water,History,7,11,4,""Yes - broadband connection"",""Text messaging"",15,6,10,1,6,3,2,20,20,4,50,16,25,8,""A lot"",""Graduate degree"",""Rock and roll"",Invisibility,Happy,Politician,""International aid"""
"USA,VA,2018,""11        "",Male,17,Right-Handed,1951,248.9,1869,1,Car,19,0.341,42,""Hockey (Ice)"",400,300,800,600,1000,1000,238.8,""Right foot"",86.36,91.4,""Index finger"",October,Winter,No,No,Meat,Milk,Music,8,3,6,""Yes - broadband connection"",""Myspace, Facebook, other social networking sites, or blog"",80,110,10,7,10,37,25,10,80,80,168,5,0,50,Some,""Graduate degree"",Classical,""Super strength"",Happy,""Sports person"",""Wildlife, animals"""
"USA,VA,2016,""12        "",Female,17,Right-Handed,172,24,178.5,1,Car,5,,,Lacrosse,600,500,500,500,50,50,23.5,""Right foot"",97,100,""Ring finger"",September,Summer,No,No,Fruit,Water,Science,7,9,3,""Yes - broadband connection"",""Text messaging"",65,60,5,1,30,8,8,0,12,6,20,1,15,5,""A lot"",""Undergraduate degree"",Reggae,Telepathy,Happy,Actor,""Wildlife, animals"""
"USA,VA,2018,""11        "",Male,17,Left-Handed,185,29,185,2,Car,3,0.735,45,Tennis,70,100,50,50,90,100,28,""Right foot"",9,9,""Same length"",August,Fall,No,No,Meat,""Soft drink (caffeinated)"",Other,6,10,4,""Yes - broadband connection"",""Text messaging"",20,20,12,0,13,2,8,14,20,1,10,15,15,0,Some,""Undergraduate degree"",""Rap/Hip hop"",Telepathy,Happy,Relative,Religious"
"USA,VA,2018,""12        "",Male,17,Right-Handed,173,28,182,2,Car,5,.349,43,Other,1000,700,1000,400,1000,1000,28,""Same length"",70,80,""Ring finger"",June,Fall,Yes,No,Pizza/Pasta,Tea,History,6,12,3,""Yes - broadband connection"",""In person"",30,43,6,2,14,3,10,0,7,5,50,0,0,10,""A lot"",""Graduate degree"",""Rap/Hip hop"",""Freeze time"",Rich,Relative,Environment"
"USA,VA,2015,""12        "",Female,17,Right-Handed,160,24,152,1,Car,15,.321,42,Other,100,100,100,100,50,500,23,""Right foot"",7.5,8,""Ring finger"",April,Summer,No,No,Seafood,""Soft drink (caffeinated)"",Science,7,10,3,""No internet connection"",""Text messaging"",200,230,12,1,1,1,4,0,15,20,5,15,24,5,Some,""Graduate degree"",Country,Fly,,Relative,Health"
"USA,VA,2021,""12        "",Female,18,Right-Handed,165,24,170,3,Walk,30,0.337,33,None,1000,500,700,700,700,900,24,""Same length"",6.9,7.6,""Ring finger"",December,Winter,Yes,No,""No favorite"",Coffee,Science,5,8,4,""Yes - broadband connection"",""Internet chat or instant messaging"",1,4,1,3,6,6,4,15,4,2,2,1,1,1,Some,""Graduate degree"",""Heavy metal"",Fly,Happy,Teacher,Environment"
"USA,VA,2015,""12        "",Male,17,Right-Handed,183,28,169,1,Car,7,.3592,54,""Football (American)"",60,75,40,50,100,100,27,""Right foot"",7.5,8.5,""Ring finger"",September,Winter,No,No,Desserts,Water,""Physical education"",7,12,4,""Yes - broadband connection"",""Cell phone"",20,20,12,0,4,20,14,10,3.5,2,15,15,4,2,Some,""Graduate degree"",Pop,Telepathy,Happy,Relative,""Wildlife, animals"""
"USA,VA,2012,""12        "",Male,17,Right-Handed,72,21,72,0,Bus,15,0.23,46,""Martial Arts"",10,10,10,10,5,5,21,""Same length"",7.5,8,""Ring finger"",October,Fall,Yes,No,""Rice/Noodle dishes"",Tea,Music,6.5,4.5,3,""Yes - other"",""Text messaging"",45,200,55,7,0,2,30,0,5,5,7,.5,0,2,""Very little"",""Some college"",Techno/Electronic,Telepathy,Happy,""Musician or singer"",""Arts, culture, sports"""
"USA,VA,2015,""11        "",Male,16,Right-Handed,178,27.5,173,1,Car,7,0.292,48,Baseball/Softball,800,400,500,700,950,1000,27,""Right foot"",99,97,""Index finger"",September,Summer,No,No,Pizza/Pasta,""Sports drink"",""Mathematics and statistics"",6.5,9,5,""Yes - broadband connection"",""Cell phone"",32,41,8,0.5,10,4,6,4,15,10,28,13,0,2,Some,""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Sports person"",""Education/Youth development"""
"USA,VA,2013,""12        "",Female,17,Right-Handed,177,27.5,178,3,Car,10,.5,48,Dancing,,,,,,,27,""Right foot"",8.5,9,""Ring finger"",April,Spring,Yes,No,Meat,Water,Art,7,10,5,""Yes - other"",""Cell phone"",1000,1000,30,2,10,24,5,3,10,30,30,3,30,5,""A lot"",""Graduate degree"",""Punk rock"",""Freeze time"",Healthy,Actor,Other"
"USA,VA,2018,""12        "",Male,17,Right-Handed,179.8,30.48,70,1,Car,5,0.39,36,Skateboarding/Rollerblading,600,300,100,700,900,900,30.48,""Same length"",,,""Same length"",December,Winter,No,No,Meat,Coffee,Languages,7,6,5,""Yes - broadband connection"",""Text messaging"",50,60,22,4,0,3,2,10,13,45,30,3,20,3,""Very little"",""Undergraduate degree"",""Rap/Hip hop"",Invisibility,Happy,Actor,""Education/Youth development"""
"USA,VA,2022,""12        "",Female,17,Right-Handed,170,26,150,2,Car,10,0.395,56,Rowing,500,100,10,10,1000,1000,25,""Right foot"",55,60,""Ring finger"",December,Winter,No,No,Pizza/Pasta,Water,English,7,10,2,,""Text messaging"",40,150,6,5,3,0,0,0,60,50,70,0,20,3,""A lot"",""Graduate degree"",Other,Invisibility,Happy,Actor,""International aid"""
