Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
WA,Female,Left-Handed,Bowling,100.0,October,Water,Other,10.0,5.0,3.0,Other
WA,Female,Right-Handed,Walking/Hiking,900.0,November,Water,Mathematics and statistics,8.0,50.0,2.0,Some college
WA,Male,Right-Handed,Bowling,1000.0,September,Soft drink (non-caffeinated),Art,10.0,8.0,3.0,Graduate degree
WA,Male,Right-Handed,Baseball/Softball,588.0,January,Water,History,10.0,0.0,2.0,High school
WA,Male,Right-Handed,Football (American),500.0,May,Water,Physical education,6.0,6.0,2.0,High school
WA,Female,Right-Handed,Dancing,500.0,February,Coffee,Art,4.0,0.0,0.0,Some college
WA,Female,Ambidextrous,Running/Jogging,1000.0,July,Coffee,Physical education,5.0,11.0,1.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,900.0,August,Water,Music,7.0,0.0,1.0,Graduate degree
WA,Male,Right-Handed,Skateboarding/Rollerblading,802.0,May,Juice,Art,11.0,0.0,5.0,Some college
WA,Female,Right-Handed,Basketball,2.0,May,Juice,Mathematics and statistics,12.0,24.0,24.0,Other
WA,Female,Ambidextrous,Soccer,500.0,October,Water,Science,8.0,0.0,2.0,Graduate degree
WA,Male,Right-Handed,Soccer,90.0,November,Coffee,Mathematics and statistics,8.0,1.0,1.0,Graduate degree
WA,Female,Ambidextrous,Basketball,0.0,May,Tea,Art,9.0,0.0,10.0,Undergraduate degree
WA,Male,Right-Handed,Tennis,1000.0,June,Juice,Physical education,12.0,0.0,0.0,Graduate degree
WA,Female,Ambidextrous,Dancing,6.0,March,Energy drink,English,10.0,20.0,2.0,Graduate degree
WA,Male,Right-Handed,Walking/Hiking,476.0,April,Soft drink (caffeinated),Geography,9.0,21.0,10.0,Undergraduate degree
WA,Female,Right-Handed,Walking/Hiking,856.0,September,Water,Science,7.0,20.0,0.0,Graduate degree
WA,Male,Right-Handed,Hockey (Ice),640.0,June,Sports drink,History,9.0,0.0,1.0,Other
WA,Male,Right-Handed,Walking/Hiking,289.0,June,Water,Science,5.0,2.0,2.0,Graduate degree
WA,Male,Right-Handed,Table Tennis,800.0,October,Water,Art,10.0,0.0,5.0,Some college
WA,Male,Right-Handed,Basketball,1000.0,July,Water,Art,4.0,10.0,5.0,High school
WA,Male,Right-Handed,Basketball,1000.0,December,Water,Mathematics and statistics,9.0,2.0,1.0,Some college
WA,Male,Right-Handed,Football (American),1000.0,September,Water,Physical education,5.0,8.0,6.0,High school
WA,Male,Left-Handed,Baseball/Softball,652.0,July,Water,Physical education,10.0,32.0,6.0,Some college
WA,Male,Left-Handed,Walking/Hiking,100.0,April,Energy drink,Art,5.0,0.0,7.0,Some college
WA,Male,Right-Handed,Dancing,1000.0,July,Water,Science,10.0,0.0,0.0,Graduate degree
WA,Female,Right-Handed,Soccer,800.0,October,Energy drink,History,10.0,0.0,3.0,Graduate degree
WA,Male,Right-Handed,Skateboarding/Rollerblading,50.0,January,Tea,Art,7.0,35.0,6.0,High school
WA,Male,Right-Handed,Basketball,500.0,June,Water,Physical education,8.0,14.0,6.0,High school
WA,Male,Ambidextrous,Other activities/sports,604.0,March,Water,Mathematics and statistics,9.0,0.0,0.0,Some college
WA,Female,Right-Handed,Dancing,48.0,October,Water,Mathematics and statistics,9.0,11.0,0.0,High school
WA,Female,Left-Handed,Dancing,100.0,February,Water,Art,7.0,8.0,4.0,Graduate degree
WA,Female,Left-Handed,Baseball/Softball,684.0,April,Energy drink,Other,10.0,0.0,10.0,Undergraduate degree
WA,Male,Right-Handed,Basketball,545.0,January,Sports drink,Physical education,10.0,25.0,10.0,Other
WA,Female,Right-Handed,Walking/Hiking,1000.0,October,Water,English,10.0,0.0,2.0,Some college
WA,Male,Right-Handed,Basketball,200.0,July,Water,History,8.0,0.0,0.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,1000.0,August,Water,English,12.0,1.0,10.0,Some college
WA,Male,Right-Handed,Running/Jogging,900.0,July,Water,Science,9.0,2.0,2.0,Graduate degree
WA,Male,Right-Handed,Football (American),700.0,June,Water,Mathematics and statistics,11.5,0.0,3.0,Some college
WA,Female,Right-Handed,Basketball,999.0,October,Water,Physical education,5.0,40.0,7.0,Some college
WA,Male,Right-Handed,Golf,583.0,December,Soft drink (caffeinated),Computers and technology,5.0,20.0,5.0,Some college
WA,Male,Ambidextrous,Martial Arts,800.0,January,Water,Social studies,8.0,15.0,3.0,Some college
WA,Male,Right-Handed,Athletics (Track & Field),497.0,February,Water,Art,6.0,0.0,4.0,High school
WA,Female,Right-Handed,Athletics (Track & Field),1000.0,July,Water,English,12.0,0.0,4.0,Some college
WA,Female,Right-Handed,Baseball/Softball,865.0,January,Water,Art,6.0,0.0,4.0,Other
WA,Male,Right-Handed,Football (American),0.0,June,Juice,Physical education,10.0,0.0,1.0,Graduate degree
WA,Female,Left-Handed,Swimming,294.0,September,Water,Art,6.0,37.0,4.0,High school
WA,Female,Right-Handed,Skateboarding/Rollerblading,797.0,April,Water,Art,12.0,0.0,13.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,1000.0,October,Water,English,8.5,10.0,4.0,Graduate degree
WA,Male,Right-Handed,Martial Arts,487.0,July,Water,Physical education,12.0,12.0,6.0,High school
WA,Female,Right-Handed,Basketball,1000.0,August,Soft drink (caffeinated),English,9.0,0.0,0.5,Graduate degree
WA,Male,Right-Handed,Football (American),1000.0,December,Water,Other,10.0,0.0,2.0,Undergraduate degree
WA,Male,Right-Handed,Baseball/Softball,500.0,November,Water,History,9.0,0.0,1.0,Some college
WA,Female,Left-Handed,Gymnastics,800.0,August,Coffee,Social studies,5.0,18.0,2.0,Graduate degree
WA,Male,Left-Handed,Football (American),1000.0,September,Sports drink,Physical education,12.0,0.0,2.0,Graduate degree
WA,Male,Right-Handed,Other activities/sports,400.0,April,Water,Science,10.0,25.0,5.0,Some college
WA,Female,Right-Handed,Athletics (Track & Field),610.0,June,Water,Science,6.5,6.0,0.0,High school
WA,Male,Left-Handed,Golf,273.0,March,Water,Other,10.0,0.0,1.0,Other
WA,Female,Right-Handed,Swimming,778.0,September,Soft drink (non-caffeinated),Music,5.0,0.0,3.0,Some college
WA,Female,Right-Handed,Bowling,1000.0,July,Water,Music,8.5,2.0,3.0,Graduate degree
WA,Female,Left-Handed,Swimming,0.0,March,Water,Other,10.0,15.0,4.0,High school
WA,Female,Right-Handed,Walking/Hiking,388.0,November,Tea,English,9.5,50.0,30.0,High school
WA,Male,Right-Handed,Soccer,1000.0,August,Water,Other,9.0,5.0,0.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,500.0,July,Sports drink,Other,10.0,0.0,8.0,High school
WA,Male,Right-Handed,Walking/Hiking,96.0,March,Water,History,9.0,20.0,5.0,Less than high school
WA,Female,Right-Handed,Tennis,749.0,November,Water,English,14.0,0.0,3.0,Some college
WA,Male,Right-Handed,Martial Arts,332.0,November,Water,Art,12.0,0.0,2.0,Some college
WA,Female,Right-Handed,Walking/Hiking,700.0,August,Water,English,9.0,0.0,4.0,Some college
WA,Female,Right-Handed,Soccer,920.0,February,Water,Art,4.0,1.0,2.0,Graduate degree
WA,Female,Right-Handed,Athletics (Track & Field),1000.0,June,Tea,English,12.0,20.0,1.0,Other
WA,Female,Right-Handed,Walking/Hiking,1000.0,November,Water,Languages,7.0,0.0,6.0,Graduate degree
WA,Male,Right-Handed,Running/Jogging,500.0,August,Water,Science,9.0,0.0,0.0,Graduate degree
WA,Male,Right-Handed,Running/Jogging,660.0,August,Water,Other,7.5,13.0,2.0,Some college
WA,Female,Right-Handed,Other activities/sports,1000.0,June,Water,Art,8.0,8.0,8.0,Graduate degree
WA,Female,Right-Handed,Swimming,230.0,July,Water,Physical education,10.0,3.0,3.0,High school
WA,Female,Right-Handed,Other activities/sports,500.0,January,Water,English,7.0,12.0,10.0,Graduate degree
WA,Female,Right-Handed,Other activities/sports,582.0,July,Sports drink,Science,8.0,0.0,13.0,Graduate degree
WA,Female,Right-Handed,Walking/Hiking,1000.0,June,Coffee,English,9.0,5.0,1.0,Graduate degree
WA,Female,Ambidextrous,Swimming,0.0,August,Milk,Languages,13.0,0.0,0.0,Less than high school
WA,Female,Right-Handed,Soccer,1000.0,December,Water,Mathematics and statistics,11.0,0.0,5.0,Graduate degree
