Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,VA,2014,"12        ",Male,17,Right-Handed,168,23,168,3,Car,5,0.313,34,Soccer,1000,900,750,1000,1000,1000,23,"Same length",762,765,"Ring finger",February,Winter,No,No,"No favorite",Water,"Mathematics and statistics",4,4,3,"Yes - broadband connection","Text messaging",70,80,15,0,30,5,10,2,0,1,4,0,4,10,"A lot","Graduate degree",Other,Fly,Happy,Relative,"International aid"
USA,VA,2012,"11        ",Female,17,Right-Handed,155,22,155,1,Car,10,.338,42,Swimming,968,984,995,973,1000,1000,22,"Same length",70,52,"Index finger",August,Fall,Yes,No,Desserts,Milk,History,7,10,4,"Yes - broadband connection","Text messaging",150,150,2,.10,22,4,.30,0,.20,1,1,.30,5,2,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Teacher,"Education/Youth development"
USA,VA,2024,"8         ",Female,13,Right-Handed,170,25,160,2,Bus,14,0.299,41,Gymnastics,727,551,843,930,973,947,23,"Right foot",8,9,"Ring finger",September,Summer,No,No,Other,Water,"Mathematics and statistics",8,11,6,"Yes - broadband connection","In person",0,0,5,2,4,14,9,14,4,2,70??,11,0,4,Some,"Graduate degree",Gospel,"Freeze time",Happy,Relative,"International aid"
USA,VA,2013,"12        ",Female,17,Right-Handed,168.7,22.7,168,1,Car,7,.887,33,Gymnastics,500,100,100,100,50,50,22.5,,70,72,"Ring finger",August,Spring,No,No,Seafood,Tea,"Mathematics and statistics",8,9,6,"Yes - other","Text messaging",50,50,20,2,2,0,0,0,40,20,40,20,30,0,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,"Education/Youth development"
USA,VA,2018,"4         ",Female,17,Right-Handed,168,25,173,1,Bus,25,.395,37,Walking/Hiking,400,500,300,300,200,600,25,"Same length",70,75,"Ring finger",May,Winter,Yes,No,Meat,Water,History,7.5,8,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",4,8,5,.5,13,2,12,0,5,2,10,3,0,0,Some,"Graduate degree",Country,Invisibility,Happy,Relative,"Education/Youth development"
USA,VA,2024,"8         ",Female,14,Right-Handed,160,24,159,2,Bus,25,0.237,39,"Hockey (Field)",0,0,0,0,500,1000,25,"Left foot",80,65,"Index finger",April,Summer,Yes,No,Pizza/Pasta,Water,History,10,13,5,"Yes - broadband connection","Text messaging",40,75,50,3,0,8,14,12,20,4,40,0,0,2,Some,"Graduate degree",Country,"Freeze time",Rich,Relative,"Wildlife, animals"
USA,VA,2020,"12        ",Female,17,Right-Handed,165,24,170,1,Car,12,0.481,39,Tennis,1000,1000,1000,1000,48,374,24,"Same length",80,82,"Ring finger",August,Fall,No,Yes,"No favorite",Water,Art,7,10,3,"Yes - broadband connection","In person",5,8,6,2,5,1,20,3,6,1,8,10,0,0,Some,"Graduate degree",Other,Telepathy,Happy,Other,Environment
USA,VA,2022,"12        ",Female,17,Right-Handed,5'5,15.4,7.8,2,Bus,10,0.298,31,Tennis,800,654,900,1000,558,600,15.4,"Same length",50,60,"Ring finger",April,Spring,Yes,No,Pizza/Pasta,Juice,History,6,6,4,"Yes - broadband connection","Internet chat or instant messaging",50,40,2,10,20,3,0,30,20,20,70,10,0,0,"A lot","Undergraduate degree",Other,Fly,Rich,Friend,Health
USA,VA,2017,"5         ",Male,11,Left-Handed,142,23,140,1,Bus,5,0.817,49,Baseball/Softball,800,600,700,800,600,800,24,"Left foot",40,70,"Ring finger",April,Summer,No,No,Meat,Water,"Physical education",9,10,4,"Yes - broadband connection","In person",2,1,20,0,5,25,9,1,0,1," 5",2,1,1,Some,"Graduate degree","Rap/Hip hop",Fly,Happy,"Sports person",Health
USA,VA,2015,"12        ",Male,19,Right-Handed,177,30,160,1,Boat,10,0.266,47,Baseball/Softball,1000,1000,500,500,1000,1000,30,"Same length",100,80,"Index finger",August,Spring,No,No,"Rice/Noodle dishes",Water,History,6,8,5,"Yes - broadband connection","Text messaging",80,80,20,5,0,20,0,20,2,2,20,0,30,4,None,"Some college","Rock and roll",Fly,Healthy,"Musician or singer",Health
USA,VA,2023,"12        ",Female,17,Right-Handed,161,22,160,1,Car,7,0.389,31,Other,1000,700,700,800,800,900,22,"Same length",83,92,"Ring finger",October,Fall,Yes,No,Pizza/Pasta,"Sports drink",Music,7,10,5,"Yes - broadband connection","Text messaging",105,117,1,1,7,5,2,16,4,4,40+,10,0,2,"A lot","Graduate degree",Other,Telepathy,Rich,Other,"Wildlife, animals"
USA,VA,2017,"12        ",Male,17,Left-Handed,182.8,27.7,76,1,Car,4,0.47,68,Lacrosse,999,987,900,997,768,888,26.7,"Right foot",,,"Ring finger",April,Spring,Yes,No,Seafood,Juice,"Social studies",7,5,3,"Yes - broadband connection",,100,500,5,15,3,4,5,1,9,8,2,3,4,4,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,"Coach or club leader",Health
USA,VA,2024,"12        ",Male,17,Right-Handed,185.4,25.4,198.1,1,Car,20,.312,45,Baseball/Softball,500,0,0,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,VA,2024,"12        ",Male,17,Right-Handed,180.3,27.9,177.8,2,Car,22,0.31,36,Basketball,600,600,500,500,100,700,27.9,"Same length",7.7,7.7,"Same length",December,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",8,6,4,"Yes - other","In person",20,20,10,1,2,5,6,3,10,9,15,10,0,5,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Happy,,Health
USA,VA,2015,"12        ",Male,17,Left-Handed,170,24,165,1,Bus,20,.3764,39.66,Cycling,813,49,155,529,652,652,24,"Same length",85,85,"Same length",March,Summer,Yes,No,Pizza/Pasta,Water,"Computers and technology",7,10,4,"Yes - broadband connection","Text messaging",7,10,5,1,10,3,10,8,0,2,10,2,10,4,"A lot","Graduate degree",Other,"Freeze time",Happy,Teacher,"International aid"
USA,VA,2016,"12        ",Female,17,Right-Handed,154,21,154,1,Car,7,.36,65,Soccer,800,800,860,800,900,1000,21,"Same length",25,23,"Index finger",October,Fall,No,No,Poultry,Water,English,7,10,3,"Yes - broadband connection","Text messaging",100,100,10,1,4,6,2,0,5,4,3,2,2,1,Some,"Graduate degree",Country,Invisibility,Happy,Relative,Health
USA,VA,2014,"12        ",Male,17,Right-Handed,181,32,177,1,Car,10,.324,48,Basketball,652,599,551,551,749,898,32,"Same length",10,9,"Index finger",June,Fall,No,No,Meat,"Soft drink (caffeinated)",,6.5,9,5,"Yes - other","Text messaging",50,55,,,,,,,,,,,,,,,,,,,
USA,VA,2018,"12        ",Female,18,Right-Handed,,,,1,Other,5,,,Other,0,0,0,0,1000,1000,,"Same length",,,,,Fall,,No,Pizza/Pasta,Juice,Music,,,3,"Yes - other","Text messaging",100,100,0,0,0,0,0,72,24,24,24,5,60,0,"A lot",Other,"Rap/Hip hop","Super strength",,Other,"Arts, culture, sports"
USA,VA,2023,"11        ",Female,16,Left-Handed,158,28,64,2,Car,18,.310,38,Walking/Hiking,1000,1000,1000,1000,700,1000,28,"Same length",7.9,7.3,"Index finger",September,Fall,No,No,Poultry,Water,Science,6,10,4,"Yes - other","Text messaging",88,95,14,16,14,10,18,6,25,10,40,0,12,4,Some,"Graduate degree",Pop,"Freeze time",Happy,Relative,Environment
