Region;Gender;Handed;Favourite_physical_activity;Importance_reducing_pollution;Birth_month;Beverage;Favorite_School_Subject;Sleep_Hours_Non_Schoolnight;Paid_Work_Hours;Work_At_Home_Hours;Planned_Education_Level
NY;Male;Right-Handed;Other;475;March;Soft drink (non-caffeinated);History;10;0;1;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;1000;May;Water;English;10;4;2;Graduate degree
NY;Female;Right-Handed;Other;950;March;Water;Art;5;12;3;Graduate degree
NY;Female;Right-Handed;Walking/Hiking;70;March;Tea;Social studies;4,5;35;11;Undergraduate degree
NY;Female;Right-Handed;Soccer;1000;October;Water;Social studies;8;15;8;Graduate degree
NY;Female;Right-Handed;Other;1000;June;Tea;Languages;5;0;0;Graduate degree
NY;Male;Right-Handed;Football (American);700;March;Sports drink;Physical education;10;;;
NY;Female;Right-Handed;None;754;May;Tea;Mathematics and statistics;10;0;3;Undergraduate degree
NY;Male;Left-Handed;Tennis;0;May;Water;History;10;;;Graduate degree
NY;Male;Right-Handed;Baseball/Softball;;February;Energy drink;Physical education;9;2;3;Undergraduate degree
NY;Female;Right-Handed;Other;1000;April;Coffee;Science;8;3;6;Graduate degree
NY;Female;Right-Handed;Dancing;100;March;Water;Music;6;;0;Some college
NY;Male;Right-Handed;Swimming;766;July;Water;History;10;0;8;Undergraduate degree
NY;Female;Right-Handed;Gymnastics;900;February;Water;Science;10;;;
NY;Male;Right-Handed;Swimming;909;January;Water;Science;10;0;5;Graduate degree
NY;Female;Right-Handed;Soccer;1000;January;Water;Physical education;8;0;70;High school
NY;Female;Right-Handed;Walking/Hiking;1000;November;Water;Art;7;0;3;Some college
NY;Female;Right-Handed;Tennis;1000;January;Water;Social studies;8;7;1;Graduate degree
NY;Female;Right-Handed;Dancing;900;May;Water;Art;8;;;
NY;Male;Right-Handed;Basketball;999;July;Water;Social studies;13;0;6;Graduate degree
NY;Male;Left-Handed;Baseball/Softball;1000;June;Water;History;11;0;1;Undergraduate degree
NY;Female;Right-Handed;Athletics;830;January;Water;Mathematics and statistics;9;0;3;Graduate degree
NY;Female;Left-Handed;Bowling;1000;December;Other;Art;?;0;1;Other
NY;Male;Right-Handed;Basketball;400;December;Milk;Computers and technology;10;0;1;Graduate degree
NY;Male;Right-Handed;Baseball/Softball;800;December;Water;Physical education;8;0;1;Undergraduate degree
NY;Male;Right-Handed;Baseball/Softball;390;August;Tea;Physical education;8;0;1;Graduate degree
NY;Female;Left-Handed;Tennis;1000;July;Water;Art;5;0;20;Graduate degree
NY;Female;Right-Handed;Tennis;701;July;Tea;Mathematics and statistics;6;12;3;Undergraduate degree
NY;Male;Right-Handed;;;;;;;;;
NY;Male;Left-Handed;Running/Jogging;1000;March;Water;History;9;0;0;Graduate degree
NY;Male;Right-Handed;Martial Arts;1000;July;Water;Mathematics and statistics;5000;0;1;Graduate degree
NY;Male;Right-Handed;Basketball;1000;January;Water;Computers and technology;5;0;0;Other
NY;Female;Right-Handed;Other;300;December;Water;Science;10;0;0,5;Graduate degree
