Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
TX,Female,Left-Handed,Walking/Hiking,1000.0,September,Water,History,10.0,20.0,1.0,Graduate degree
TX,Female,Right-Handed,Other activities/sports,406.0,October,Water,Science,9.0,0.0,1.0,Graduate degree
TX,Male,Left-Handed,Martial Arts,127.0,November,Water,Science,8.0,20.0,2.0,Graduate degree
TX,Female,Right-Handed,Swimming,465.0,November,Soft drink (caffeinated),Art,9.0,20.0,3.0,Some college
TX,Male,Right-Handed,Skateboarding/Rollerblading,234.0,July,Water,Science,9.0,0.0,5.0,Graduate degree
TX,Female,Right-Handed,Dancing,900.0,December,Water,History,10.0,5.0,2.0,Graduate degree
TX,Female,Right-Handed,Skateboarding/Rollerblading,600.0,July,Water,Art,10.0,2.0,4.0,Undergraduate degree
TX,Female,Right-Handed,Baseball/Softball,900.0,July,Water,History,11.0,0.0,7.0,Graduate degree
TX,Female,Right-Handed,Running/Jogging,800.0,June,Water,Mathematics and statistics,12.0,0.0,21.0,Graduate degree
TX,Male,Right-Handed,Other activities/sports,1000.0,January,Water,History,13.0,0.0,15.0,Some college
TX,Male,Right-Handed,Soccer,700.0,February,Water,Science,9.0,0.0,4.0,Graduate degree
TX,Female,Ambidextrous,Other activities/sports,0.0,September,Powdered drink,Music,9.0,1.0,3.0,Some college
TX,Female,Right-Handed,Swimming,500.0,March,Water,Art,10.0,1.0,10.0,Undergraduate degree
TX,Male,Right-Handed,Other activities/sports,909.0,September,Water,History,7.0,0.0,0.0,Graduate degree
TX,Male,Right-Handed,Football (American),1000.0,December,Juice,Music,9.0,0.0,3.0,Graduate degree
TX,Male,Right-Handed,Other activities/sports,400.0,November,Sports drink,Physical education,10.0,24.0,2.0,Undergraduate degree
TX,Male,Right-Handed,Basketball,1000.0,April,Water,Physical education,10.0,0.0,15.0,Other
TX,Male,Right-Handed,Basketball,1000.0,February,Coffee,Music,8.0,10.0,5.0,Graduate degree
TX,Male,Right-Handed,Other activities/sports,90.0,September,Tea,Social studies,9.0,10.0,5.0,Graduate degree
TX,Male,Right-Handed,Bowling,700.0,July,Soft drink (non-caffeinated),Science,10.0,25.0,8.0,Graduate degree
TX,Male,Right-Handed,Other activities/sports,900.0,July,Juice,Social studies,10.0,0.0,15.0,Graduate degree
TX,Female,Right-Handed,Baseball/Softball,316.0,August,Water,Other,8.0,0.0,2.0,High school
TX,Female,Right-Handed,Soccer,400.0,January,Tea,English,9.0,16.0,8.0,Graduate degree
TX,Female,Right-Handed,Running/Jogging,733.0,March,Water,Other,10.0,20.0,2.0,Other
TX,Female,Right-Handed,Cycling,990.0,November,Water,Art,10.0,0.0,12.0,Graduate degree
TX,Male,Left-Handed,Soccer,560.0,February,Water,Other,10.0,12.0,1.0,Graduate degree
TX,Male,Right-Handed,Athletics (Track & Field),100.0,September,Tea,Art,11.0,2.0,1.0,Graduate degree
TX,Female,Left-Handed,Dancing,1000.0,March,Tea,Art,9.0,0.0,3.0,Graduate degree
TX,Male,Right-Handed,Bowling,872.0,June,Water,Mathematics and statistics,6.0,0.0,2.0,Graduate degree
TX,Female,Right-Handed,Walking/Hiking,570.0,November,Soft drink (caffeinated),Science,14.0,1.0,7.0,Graduate degree
TX,Male,Right-Handed,Baseball/Softball,0.0,May,Water,Mathematics and statistics,8.0,0.0,2.0,Graduate degree
TX,Male,Ambidextrous,Football (American),1000.0,June,Soft drink (non-caffeinated),Physical education,10.0,0.0,8.0,Graduate degree
TX,Female,Right-Handed,Baseball/Softball,1000.0,December,Water,History,7.0,0.0,2.0,Graduate degree
