"Region	Gender	Handed	Favourite_physical_activity	Importance_reducing_pollution	Birth_month	Beverage	Favorite_School_Subject	Sleep_Hours_Non_Schoolnight	Paid_Work_Hours	Work_At_Home_Hours	Planned_Education_Level"
"NY	Male	Right-Handed	Soccer	999	NA	NA	NA	NA	NA	NA	NA"
"NY	Female	Right-Handed	Other	631	June	Milk	English	12	NA	NA	NA"
"NY	Male	Right-Handed	Cycling	900	February	Soft_drink_(non-caffeinated)	History	9	16	2	Graduate_degree"
"NY	Male	Right-Handed	Martial_Arts	500	November	Energy_drink	Other	11	2	0	Graduate_degree"
"NY	Male	Right-Handed	Basketball	800	June	Water	Mathematics_and_statistics	10	NA	0	Graduate_degree"
"NY	Male	Right-Handed	Basketball	1000	June	Juice	Art	9	NA	0	Graduate_degree"
"NY	Male	Right-Handed	Soccer	500	February	Water	Science	12	NA	12	Graduate_degree"
"NY	Male	Right-Handed	Other	700	December	Energy_drink	Music	12	NA	7	Graduate_degree"
"NY	Male	Right-Handed	Other	900	August	Water	English	11	NA	3.5	Other"
"NY	Male	Right-Handed	Basketball	310	June	Water	Other	8	16	2	Graduate_degree"
"NY	Male	Right-Handed	Baseball/Softball	75	January	NA	Art	6	1	1	Some_college"
"NY	Male	Left-Handed	Baseball/Softball	700	April	Water	Science	10	2	2	Graduate_degree"
"NY	Male	Right-Handed	Tennis	1000	November	Water	Mathematics_and_statistics	7	15	4	Graduate_degree"
"NY	Female	Right-Handed	Hockey_(Field)	700	February	Water	Science	7	5	2	Graduate_degree"
"NY	Male	Ambidextrous	Football_(American)	700	August	Water	Physical_education	9	NA	5	Graduate_degree"
"NY	Female	Right-Handed	Basketball	900	January	Milk	English	10	NA	6	Other"
"NY	Female	Left-Handed	Cycling	1000	June	Tea	History	10	NA	NA	NA"
"NY	Female	Right-Handed	Swimming	800	August	Water	History	10	7	10	Graduate_degree"
"NY	Male	Right-Handed	Basketball	1000	April	Milk	Science	9	2	5	Graduate_degree"
"NY	Male	Right-Handed	Baseball/Softball	300	May	Sports_drink	History	10	10	1	Graduate_degree"
"NY	Female	Left-Handed	Athletics	872	October	Soft_drink_(caffeinated)	History	9	2	1	Graduate_degree"
