Region,Gender,Handed,Favourite_physical_activity,Importance_reducing_pollution,Birth_month,Beverage,Favorite_School_Subject,Sleep_Hours_Non_Schoolnight,Paid_Work_Hours,Work_At_Home_Hours,Planned_Education_Level
NY,Male,Right-Handed,Tennis,700.0,December,Water,Mathematics and statistics,9.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Tennis,1000.0,November,Water,English,12.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Basketball,369.0,March,Juice,History,10.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Lacrosse,900.0,August,Water,Physical education,11.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Soccer,700.0,November,Water,History,8.0,0.0,0.0,Undergraduate degree
NY,Female,Right-Handed,Hockey (Field),800.0,June,Water,Other,9.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Athletics (Track & Field),1000.0,August,Water,Mathematics and statistics,12.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Martial Arts,1000.0,September,Water,Physical education,10.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Baseball/Softball,845.0,February,Water,Science,9.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Lacrosse,1000.0,February,Water,Social studies,9.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Other activities/sports,1000.0,February,Water,Mathematics and statistics,9.0,6.0,6.0,Graduate degree
NY,Male,Right-Handed,Swimming,1000.0,March,Juice,Science,9.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Golf,1000.0,May,Water,Physical education,9.0,1.0,1.0,Graduate degree
NY,Male,Left-Handed,Soccer,900.0,December,Water,Social studies,12.0,0.0,0.0,Graduate degree
NY,Female,Right-Handed,Dancing,1000.0,June,Tea,Social studies,4.0,0.0,0.0,Other
NY,Male,Right-Handed,Basketball,500.0,July,Water,Computers and technology,8.0,0.0,0.0,Undergraduate degree
NY,Female,Right-Handed,Dancing,465.0,December,Milk,Science,11.0,0.0,0.0,Graduate degree
NY,Male,Right-Handed,Other activities/sports,650.0,March,Water,Social studies,12.0,0.0,0.0,Graduate degree
