Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
"USA,VA,2018,""11        "",Female,16,Right-Handed,158.7,238,63.5,1,Car,4,.4526,42.2,Athletics,1000,247,996,1000,4,977,17.78,""Right foot"",60.96,63.5,""Ring finger"",April,Spring,No,No,Desserts,Tea,English,7-8,7-8,4,""Yes - broadband connection"",""Cell phone"",100,100,12,7,0,2,0,0,100,24,100,0,11,6,""Very little"",""Some college"",Other,Fly,Happy,Relative,""Wildlife, animals"""
"USA,VA,2019,""12        "",Male,17,Right-Handed,180,24,62,1,Bus,5,.31,39,Other,800,900,400,600,100,400,24,""Same length"",40,40,""Same length"",April,Winter,No,No,Meat,Water,Music,7,9,5,""Yes - other"",""Text messaging"",3,2,3,1,3,1,5,10,0,1,14,2,0,2,Some,""Graduate degree"",Pop,Fly,Happy,Friend,Health"
"USA,VA,2016,""12        "",Female,17,Right-Handed,177,26,198,1,Bus,20,,,Tennis,1000,600,1000,1000,400,900,24,,7,7,""Index finger"",November,Fall,Yes,Yes,""Rice/Noodle dishes"",Water,Art,9,9,5,""Yes - broadband connection"",""Internet chat or instant messaging"",20,30,10,2,0,4,5,14,145,145,130,4,12,20,Some,""High school"",Techno/Electronic,""Freeze time"",Happy,Politician,""Arts, culture, sports"""
"USA,VA,2015,""12        "",Female,16,Right-Handed,170,23,160,2,Bus,15,.3558,39.2,Other,193,230,337,289,791,1000,24,""Left foot"",66,72,""Ring finger"",April,Fall,No,No,Fruit,Water,""Computers and technology"",8,9,4,""Yes - other"",""Text messaging"",15,13,8,12,10,35,5,15,32,5,26,3,0,1,""A lot"",Other,Gospel,Telepathy,Happy,""Religious figure"",Religious"
"USA,VA,2022,""12        "",Male,17,Right-Handed,185,28,195,1,Car,8,0.31,35,Athletics,877,604,503,695,706,513,29,""Left foot"",127,138,""Ring finger"",February,Winter,No,No,,Water,""Computers and technology"",7,9,5,""Yes - broadband connection"",""In person"",354,531,10,3,10,2,12,1,10,20,15,0,0,4,Some,""Undergraduate degree"",""Rap/Hip hop"",""Freeze time"",Happy,""Business person"",Health"
"USA,VA,2016,""12        "",Female,17,Right-Handed,167,9.5,,1,,10,,,Other,3,2,4,5,6,1,24,""Right foot"",40,40,""Ring finger"",November,Winter,Yes,No,Poultry,Coffee,Science,7,8,4,""Yes - broadband connection"",""Text messaging"",50,60,4,3,6,3,6,1,5,6,4,7,2,3,Some,""Undergraduate degree"",Country,Fly,Rich,""Doctor or nurse"",Health"
"USA,VA,2024,""8         "",Female,14,Left-Handed,167.6,22,165.1,1,Car,6,0.381,40,Swimming,800,650,400,700,30,900,22,""Same length"",80,60,""Index finger"",September,Summer,Yes,No,""No favorite"",Water,English,7,8,5,""Yes - other"",""Text messaging"",45,30,97,35,2,8,10,0,2,3,3,3,3,1,Some,""Graduate degree"",Country,,Happy,""Coach or club leader"",Health"
"USA,VA,2023,""12        "",Male,17,Right-Handed,183,26.5,182,2,Car,55,.318,43,Lacrosse,134,160,396,524,947,1000,26.5,""Same length"",77,80,""Ring finger"",June,Winter,No,No,Meat,Water,""Mathematics and statistics"",6.5,8.5,5,""Yes - broadband connection"",""Text messaging"",82,95,11,1,20,13,19,3,9,4,24,0,0,3,""A lot"",""Graduate degree"",""Rap/Hip hop"",""Freeze time"",Rich,Relative,Health"
"USA,VA,2015,""12        "",Male,17,Right-Handed,177,25,177,2,Car,5,.289,,Soccer,900,750,1000,500,800,900,25,""Same length"",80,81,""Ring finger"",October,Fall,Yes,No,Salads,Water,History,7,8,5,""Yes - broadband connection"",""In person"",200,250,4,2,8,3,10,4,5,3,2,8,0,0,Some,""Undergraduate degree"",Pop,""Super strength"",Rich,Relative,Health"
"USA,VA,2013,""11        "",Female,16,Right-Handed,162.5,25,161,1,Bus,30,1.811,67,Dancing,700,450,650,650,950,1000,26,""Right foot"",80,80,""Same length"",September,Fall,No,No,Pizza/Pasta,Water,English,6,10,4,""Yes - other"",""Text messaging"",126,1485,5,2,30,4,0,0,10,15,2,1,0,2,""A lot"",""Graduate degree"",""Rap/Hip hop"",Telepathy,Happy,""Doctor or nurse"",""International aid"""
"USA,VA,2015,""12        "",Male,18,Right-Handed,177,31,169,1,Car,""3 "",0.318,39,Other,500,400,700,700,700,1000,32,""Left foot"",70,75,""Ring finger"",August,Winter,Yes,No,Meat,Milk,""Physical education"",9,9,5,""Yes - other"",""Text messaging"",20,20,10,1,1,6,10,0,5,1,,16,25,,Some,""Graduate degree"",Country,""Super strength"",Rich,""Sports person"",""Education/Youth development"""
"USA,VA,2018,""12        "",Female,17,Right-Handed,172.7,19,193,1,Car,7,.362,60,Lacrosse,900,450,500,1000,150,60,19,""Same length"",80,70,""Index finger"",May,Spring,Yes,No,Seafood,Juice,Science,8,7,3,""Yes - broadband connection"",""Text messaging"",3,3,24,5,6,10,50,0,20,25,3,10,6.30,1,""A lot"",""Graduate degree"",""Rap/Hip hop"",Invisibility,Rich,Relative,Health"
"USA,VA,2012,""11        "",Male,16,Left-Handed,170,44,175,2,Car,6,.359,35,Lacrosse,652,508,647,652,540,578,44,""Same length"",88.9,85.2,""Index finger"",July,Summer,No,No,Pizza/Pasta,""Sports drink"",History,7,10,4,""Yes - other"",""Myspace, Facebook, other social networking sites, or blog"",40,40,15,1,10,4,5,1,8,8,10,5,20,6,Some,""Graduate degree"",""Rap/Hip hop"",Fly,Happy,Relative,""International aid"""
